Registered S3 methods overwritten by 'RcppGSL':
  method               from     
  predict.fastLm       RcppEigen
  print.fastLm         RcppEigen
  summary.fastLm       RcppEigen
  print.summary.fastLm RcppEigen
Loading required package: future
[2026-07-22 13:58:19] EXPERIMENT START | scenarios=4 | q-levels=6 | repliche/scenario/q=500 | total jobs=12000
[2026-07-22 13:58:20] START  scenario=unif_big | jobs=3000 (6 q x 500 repliche) | M=1500 | n_max=10000
[2026-07-22 14:01:14] PROGRESS scenario=unif_big | 1700/3000 (56.7%) | q=0.0001 rep=284 | elapsed=00:02:55 | ETA=00:02:13 | rate=9.738 job/s
[2026-07-22 14:01:19] PROGRESS scenario=unif_big | 1750/3000 (58.3%) | q=0.001 rep=292 | elapsed=00:03:00 | ETA=00:02:08 | rate=9.734 job/s
[2026-07-22 14:01:24] PROGRESS scenario=unif_big | 1800/3000 (60.0%) | q=0.005 rep=300 | elapsed=00:03:05 | ETA=00:02:03 | rate=9.737 job/s
[2026-07-22 14:01:29] PROGRESS scenario=unif_big | 1850/3000 (61.7%) | q=0.0001 rep=309 | elapsed=00:03:10 | ETA=00:01:58 | rate=9.745 job/s
[2026-07-22 14:01:34] PROGRESS scenario=unif_big | 1900/3000 (63.3%) | q=0.001 rep=317 | elapsed=00:03:15 | ETA=00:01:53 | rate=9.747 job/s
[2026-07-22 14:01:40] PROGRESS scenario=unif_big | 1950/3000 (65.0%) | q=0.005 rep=325 | elapsed=00:03:20 | ETA=00:01:48 | rate=9.748 job/s
[2026-07-22 14:01:45] PROGRESS scenario=unif_big | 2000/3000 (66.7%) | q=0.0001 rep=334 | elapsed=00:03:25 | ETA=00:01:43 | rate=9.750 job/s
[2026-07-22 14:01:50] PROGRESS scenario=unif_big | 2050/3000 (68.3%) | q=0.001 rep=342 | elapsed=00:03:30 | ETA=00:01:37 | rate=9.751 job/s
[2026-07-22 14:01:55] PROGRESS scenario=unif_big | 2100/3000 (70.0%) | q=0.005 rep=350 | elapsed=00:03:35 | ETA=00:01:32 | rate=9.752 job/s
[2026-07-22 14:02:00] PROGRESS scenario=unif_big | 2150/3000 (71.7%) | q=0.0001 rep=359 | elapsed=00:03:40 | ETA=00:01:27 | rate=9.757 job/s
[2026-07-22 14:02:05] PROGRESS scenario=unif_big | 2200/3000 (73.3%) | q=0.001 rep=367 | elapsed=00:03:46 | ETA=00:01:22 | rate=9.754 job/s
[2026-07-22 14:02:10] PROGRESS scenario=unif_big | 2250/3000 (75.0%) | q=0.005 rep=375 | elapsed=00:03:51 | ETA=00:01:17 | rate=9.756 job/s
[2026-07-22 14:02:15] PROGRESS scenario=unif_big | 2300/3000 (76.7%) | q=0.0001 rep=384 | elapsed=00:03:56 | ETA=00:01:12 | rate=9.761 job/s
[2026-07-22 14:02:20] PROGRESS scenario=unif_big | 2350/3000 (78.3%) | q=0.001 rep=392 | elapsed=00:04:01 | ETA=00:01:07 | rate=9.762 job/s
[2026-07-22 14:02:26] PROGRESS scenario=unif_big | 2400/3000 (80.0%) | q=0.005 rep=400 | elapsed=00:04:06 | ETA=00:01:01 | rate=9.757 job/s
[2026-07-22 14:02:30] PROGRESS scenario=unif_big | 2450/3000 (81.7%) | q=0.0001 rep=409 | elapsed=00:04:11 | ETA=00:00:56 | rate=9.763 job/s
[2026-07-22 14:02:36] PROGRESS scenario=unif_big | 2500/3000 (83.3%) | q=0.001 rep=417 | elapsed=00:04:16 | ETA=00:00:51 | rate=9.765 job/s
[2026-07-22 14:02:41] PROGRESS scenario=unif_big | 2550/3000 (85.0%) | q=0.005 rep=425 | elapsed=00:04:21 | ETA=00:00:46 | rate=9.764 job/s
[2026-07-22 14:02:46] PROGRESS scenario=unif_big | 2600/3000 (86.7%) | q=0.0001 rep=434 | elapsed=00:04:26 | ETA=00:00:41 | rate=9.768 job/s
[2026-07-22 14:02:51] PROGRESS scenario=unif_big | 2650/3000 (88.3%) | q=0.001 rep=442 | elapsed=00:04:31 | ETA=00:00:36 | rate=9.765 job/s
[2026-07-22 14:02:56] PROGRESS scenario=unif_big | 2700/3000 (90.0%) | q=0.005 rep=450 | elapsed=00:04:36 | ETA=00:00:31 | rate=9.766 job/s
[2026-07-22 14:03:01] PROGRESS scenario=unif_big | 2750/3000 (91.7%) | q=0.0001 rep=459 | elapsed=00:04:41 | ETA=00:00:26 | rate=9.769 job/s
[2026-07-22 14:03:06] PROGRESS scenario=unif_big | 2800/3000 (93.3%) | q=0.001 rep=467 | elapsed=00:04:47 | ETA=00:00:20 | rate=9.769 job/s
[2026-07-22 14:03:14] PROGRESS scenario=unif_big | 2850/3000 (95.0%) | q=0.005 rep=475 | elapsed=00:04:54 | ETA=00:00:15 | rate=9.692 job/s
[2026-07-22 14:03:19] PROGRESS scenario=unif_big | 2900/3000 (96.7%) | q=0.0001 rep=484 | elapsed=00:04:59 | ETA=00:00:10 | rate=9.695 job/s
[2026-07-22 14:03:24] PROGRESS scenario=unif_big | 2950/3000 (98.3%) | q=0.001 rep=492 | elapsed=00:05:04 | ETA=00:00:05 | rate=9.698 job/s
[2026-07-22 14:03:29] PROGRESS scenario=unif_big | 3000/3000 (100.0%) | q=0.005 rep=500 | elapsed=00:05:09 | ETA=00:00:00 | rate=9.699 job/s
[2026-07-22 14:03:29] DONE   scenario=unif_big | jobs=3000 | total elapsed=00:05:09
[2026-07-22 14:03:37] START  scenario=zipf_heavy | jobs=3000 (6 q x 500 repliche) | M=1500 | n_max=10000
[2026-07-22 14:03:42] PROGRESS scenario=zipf_heavy | 50/3000 (1.7%) | q=0.0001 rep=9 | elapsed=00:00:05 | ETA=00:05:02 | rate=9.781 job/s
[2026-07-22 14:03:47] PROGRESS scenario=zipf_heavy | 100/3000 (3.3%) | q=0.001 rep=17 | elapsed=00:00:10 | ETA=00:04:49 | rate=10.043 job/s
[2026-07-22 14:03:52] PROGRESS scenario=zipf_heavy | 150/3000 (5.0%) | q=0.005 rep=25 | elapsed=00:00:15 | ETA=00:04:44 | rate=10.034 job/s
[2026-07-22 14:03:57] PROGRESS scenario=zipf_heavy | 200/3000 (6.7%) | q=0.0001 rep=34 | elapsed=00:00:20 | ETA=00:04:42 | rate=9.915 job/s
[2026-07-22 14:04:02] PROGRESS scenario=zipf_heavy | 250/3000 (8.3%) | q=0.001 rep=42 | elapsed=00:00:25 | ETA=00:04:35 | rate=9.992 job/s
[2026-07-22 14:04:07] PROGRESS scenario=zipf_heavy | 300/3000 (10.0%) | q=0.005 rep=50 | elapsed=00:00:30 | ETA=00:04:29 | rate=10.044 job/s
[2026-07-22 14:04:11] PROGRESS scenario=zipf_heavy | 350/3000 (11.7%) | q=0.0001 rep=59 | elapsed=00:00:35 | ETA=00:04:23 | rate=10.062 job/s
[2026-07-22 14:04:16] PROGRESS scenario=zipf_heavy | 400/3000 (13.3%) | q=0.001 rep=67 | elapsed=00:00:40 | ETA=00:04:18 | rate=10.092 job/s
[2026-07-22 14:04:21] PROGRESS scenario=zipf_heavy | 450/3000 (15.0%) | q=0.005 rep=75 | elapsed=00:00:44 | ETA=00:04:12 | rate=10.123 job/s
[2026-07-22 14:04:26] PROGRESS scenario=zipf_heavy | 500/3000 (16.7%) | q=0.0001 rep=84 | elapsed=00:00:49 | ETA=00:04:06 | rate=10.159 job/s
[2026-07-22 14:04:31] PROGRESS scenario=zipf_heavy | 550/3000 (18.3%) | q=0.001 rep=92 | elapsed=00:00:54 | ETA=00:04:01 | rate=10.156 job/s
